n_events,unique_event_types,weighted_event_score,behavioral_entropy,temporal_span_ms,temporal_entropy,unique_file_paths,unique_urls,unique_networks,unique_crypto_algos,unique_shared_prefs,has_runtime_exec,has_dex_load,has_sms,has_socket,has_crypto,has_subscriber_id,has_device_id,has_webview,has_url,has_network,has_process,has_settings,cnt_runtime_exec,cnt_dex_load,cnt_sms,cnt_socket,cnt_subscriber_id_access,cnt_device_id_access,cnt_crypto,cnt_webview,cnt_url_access,cnt_okhttp,cnt_network,cnt_process,cnt_start_activity,cnt_activity_resume,cnt_activity,cnt_settings_access,cnt_settings,cnt_device,cnt_file,cnt_file_access,cnt_shared_pref,cnt_sp,cnt_runtime,cnt_unknown,file_access_ratio,network_ratio,sp_ratio,high_signal_ratio,crypto_and_network,device_id_and_network,dex_and_exec,webview_and_url,sms_and_device,richness_score,quality_score,log_n_events,log_weighted_score,log_file_paths,log_urls,label,source_file,quality_score,quality_reason
289.0,9.0,234.1,1.7368610066365735,16695.0,0.1000529166327069,62.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,34.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,112.0,129.0,0.0,0.0,0.0,0.3875432525951557,0.0,0.4463667820069204,0.0034602076124567,0.0,0.0,0.0,1.0,0.0,0.8115,0.8115,5.66988092298052,5.460010955546024,4.143134726391533,2.5649493574615367,0,benign_com.arsenal.geosuper.json,0.8115,ok
261.0,9.0,191.4,1.7249191719945036,10755.0,0.4762675453086239,84.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,10.0,0.0,0.0,0.0,1.0,2.0,0.0,16.0,0.0,0.0,0.0,143.0,79.0,0.0,0.0,0.0,0.5478927203065134,0.0,0.3026819923371647,0.003831417624521,0.0,0.0,0.0,1.0,0.0,0.8052,0.8052,5.568344503761097,5.259576538231606,4.442651256490317,2.5649493574615367,0,benign_com.alexandrucene.dayhistory.json,0.8052,ok
499.0,8.0,319.4,1.499694601831966,23574.0,0.083509137360955,105.0,19.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,212.0,245.0,0.0,0.0,0.0,0.4248496993987976,0.0,0.4909819639278557,0.002004008016032,0.0,0.0,0.0,1.0,0.0,0.8027,0.8027,6.214608098422191,5.769570215194204,4.663439094112067,2.995732273553991,0,benign_com.bestweatherfor.bibleoffline_pt_ra.json,0.8027,ok
360.0,8.0,279.9,1.7755815111413915,29006.0,0.1601962924055674,59.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,28.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,135.0,165.0,0.0,0.0,0.0,0.375,0.0,0.4583333333333333,0.0027777777777777,0.0,0.0,0.0,1.0,0.0,0.802,0.802,5.8888779583328805,5.637998734110198,4.0943445622221,2.9444389791664403,0,benign_com.whtm.android.weather.json,0.802,ok
346.0,8.0,239.3,1.6800484645364957,7283.0,0.6738314514464449,80.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,21.0,0.0,0.0,0.0,166.0,135.0,0.0,0.0,0.0,0.4797687861271676,0.0,0.3901734104046243,0.0028901734104046,0.0,0.0,0.0,1.0,0.0,0.7961,0.7961,5.849324779946859,5.481888142742423,4.394449154672439,2.639057329615259,0,benign_cc.pacer.androidapp.json,0.7961,ok
384.0,8.0,259.2,1.5188963701359413,21157.0,0.6392220288145902,86.0,20.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,136.0,211.0,0.0,0.0,0.0,0.3541666666666667,0.0,0.5494791666666666,0.0026041666666666,0.0,0.0,0.0,1.0,0.0,0.793,0.793,5.953243334287785,5.561450566078405,4.465908118654584,3.044522437723423,0,benign_com.aa2.generaladaptiveapps.json,0.793,ok
337.0,8.0,226.4,1.552258316925803,16145.0,0.1461938184398416,79.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,158.0,144.0,0.0,0.0,0.0,0.4688427299703264,0.0,0.4272997032640949,0.0029673590504451,0.0,0.0,0.0,1.0,0.0,0.7893,0.7893,5.823045895483019,5.426710581316436,4.382026634673881,2.4849066497880004,0,benign_com.armobi.recipes.json,0.7893,ok
294.0,8.0,195.9,1.5735361883494392,6862.0,0.5011850048844377,75.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,125.0,139.0,0.0,0.0,0.0,0.4251700680272108,0.0,0.4727891156462585,0.0034013605442176,0.0,0.0,0.0,1.0,0.0,0.784,0.784,5.68697535633982,5.28269598564508,4.330733340286331,2.4849066497880004,0,benign_com.blackbirdwallpapers.hdlivewallpapers.json,0.784,ok
320.0,8.0,211.9,1.3578351800430477,13157.0,0.2294044744123116,39.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,75.0,215.0,0.0,0.0,0.0,0.234375,0.0,0.671875,0.003125,0.0,0.0,0.0,1.0,0.0,0.7784,0.7784,5.771441123130016,5.360822571899434,3.688879454113936,2.639057329615259,0,benign_com.andromo.dev128364.app130670.json,0.7784,ok
336.0,8.0,209.3,1.4840502768182535,26555.0,0.2229575297271139,69.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,138.0,171.0,0.0,0.0,0.0,0.4107142857142857,0.0,0.5089285714285714,0.0029761904761904,0.0,0.0,0.0,1.0,0.0,0.7761,0.7761,5.820082930352362,5.348535082708654,4.248495242049359,2.302585092994046,0,benign_codematics.universal.tv.remote.control.json,0.7761,ok
